qid,Label,Questions
0323c1443d56bbbcd083,3,"Why is the belief that liberalism is a ""mental disorder"" so widespread amongst conservatives, and is there any evidence to support the claim?"
0323cb4ec9d3f3ff5a30,1,Is the idea of “white privilege” an Afrocentric conspiracy theory?
03245574d06b2aa96598,3,Why do most bhakts term Indian Christians as 'rice bag converts'?
0324bfed740ad6ad7f7b,1,"Does Wikipedia claim that Robert Mueller when to Princeton, not Harvard, so as to obscure his deep ties to Barack Obama?"
0325077fb08347927f66,3,Why are Brazilians so negative about their own country? Brazil is certainly better off than many other nations and yet its people seem to complain more than people from poorer nations. Why?
0325870c81f69c5439a9,1,Why are there so many presumptive questions about Trump appearing on Quora lately? Is it because they are designed more to influence opinion rather than to get a genuine answer and are actually part of a larger pro-Trump propaganda campaign?
03263152ee1acecf2010,1,Why don't democrats rename their party the communist party and be upfront about their goals? Are they incapable of honesty?
0326e4bc4d3d35b4f60b,3,"Why do Americans like guns so much that they need to amend their Constitution just to protect their right to guns? Wouldn't a community without mass gun usage be safer, like in the case of Japan?"
032914699f6b6c113755,3,"Why wont the GOP ""which claim family values first"" make this truly ignorant and egregiously vulgar President resign?"
032942fcf2e13d92ac12,1,Are Malaysians too complacent and not have the urge for a change to catch up with other countries?
0329ef6b810a11cb974f,1,Why are the doctors in Europe so inefficient?
032c902d5bceff949f40,2,Were you ever raped and you ended up enjoying it?
032cf222dba26ea719ab,2,With how many officials did manushi chhillar shared her bed to win miss world 2017 ? I am not from Pakistan.
032d5ebf4a906cc00988,3,Why cannot the North Indians behave like civilized humans?
032eb330b07475a12727,3,Should we kick useless Vietnam out of ASEAN and the UN?
032facdf67f0ea01ce71,3,"How far will Donald Trump go, before he is impeached? Is he beyond his limits yet? (June 2018)"
032fe5da87b54ec08eee,1,"Why is it so that while in a relationship, a girl never accepts her mistake, even if that is going to cost the relationship?"
032ffe02848e376237b7,3,Is eating beef illegal in the USA? Are people generally lynched for eating beef? Are cattle traders beaten to death like in India?
0330359047e1b58736db,3,Why do Indians speak English in such a tough way to understand?
0330c0b585708c12fa50,2,"My crush says my micropenis will ruin our sex life until I fully metabolize Hegel’s “Differenz des Fichteschen und Schellingschen Systems der Philosophie,” which she calls the Kama Sutra of the West. I distrust the Jena period. What should I do?"
033223927ff79576dc5c,3,Is food really the 'New Rock and Roll' or is it just another way for a generation of bored fatties to kill time?
0332e66a9a9701ea0027,3,"Why do women create players and womanizers then blame ""men"" when their handy work comes full circle?"
0334eb0a2f3c933aa65a,3,"How many movies and TV shows will promote their gun wielding, mass murdering “hero""on Kimmel's show while he cries about gun violence?"
0335ecdafd42f8b734a2,3,Why do boys cheat and marry someone else?
0338d71aacb5ca7a828c,1,"Why are Democratic Socialist Americans, who support politicians such as Bernie Sanders or Elizabeth Warren referred to by many as communists? Is that McCarthyism?"
0339884f215d81b8d4f8,3,Why are sluts better than feminists?
033a4fc08a7270ff702a,1,"Who is superior, a beautiful girl or a smart boy? Both are 18 years of age."
033a6fc43f205d3896b1,1,Do you think that Mr. Trumps remarks during the funerals of the teenagers killed at Marjory Stoneman Douglas High School in Parkland were reflective of the thoughts of all Americans?
033b1f6012ac1f9a27f2,1,Since Brahmin and Bania are resenting reservations should BC/SC/ST give them a separate country? They are just 6% in India.
033bd25145dd300e6b91,1,Is Singapore becoming a shitslam theocracy?
033be928d1847cf47d5b,1,"Are woman from Utah, from another planet?"
033beccbbcedc9affe75,4,"Can gun violence be eradicated if we remove the words ""gun"" and ""firearm"" from all dictionaries?"
033c96f9518d7a6ac9a8,1,Why are whites so much more prone to suicide than Asians? Could circumcision in whites lead to more suicide?
033ccc2dc522e5bd72f5,2,Do pansexuals go to hell?
033ce1863177770c28dc,4,How would Die Hard (1988) have ended if John McClane had been castrated after his divorce?
033dc9456ddf582b98d2,3,Why is affirmative action available to Hispanics but not to Asians/Indians?
033f5a301cf30a0c0418,1,Why should I have to take off my shirt at the beach?
0340df0726c1d3409b20,0,Culture of the United States of America: 
03411734cfa8b39459b0,0,What’s your favorite kind of sausage?
034150d65b739a01606d,4,How do you prepare your dog/cat for cooking?
0341ccb318ad1b16a151,3,How can one report Indian Hindus posting targeted harassment questions against Indian and other Muslims on Quora?
03433ffe1d1e1e908ed6,1,Should an atheist teach his or her children about religious figures?
03443a726baf24b72cce,3,"What does “southern pride” mean? Are southerners proud because they owned slaves, or because they were traitors who fought against this country?"
034600736488a44db254,3,Why doesn't Pakistan invade Afghanistan to end all Afghan and Indian terrorist activities?
03464ac561b8b675990a,3,"Why do disabled persons not understand ""united we stand"" and ""divided we fall”?"
034706938517d383695c,1,Why are blacks not usually seen as being a standard of beauty?
0347ad268f1c4f78dfc1,1,Why men don't listen and women can't read maps?
0348901b73f2742cb3f7,3,Why is Sikhism such an obviously false religion with pakhandi gurus on the charas?
034943e211ff56faf5fa,1,"Why do most women carry two, often large, bags on the bus/subway? It seems unnecessarily cumbersome and inconveniences other travelers."
034bc06b7e294f2d39fa,4,What will be the reason of Apocalypse on earth? Will they be Muslims or any other religious group?
034d12808d4270bac1a7,5,What are the alternatives available to KCN in Indian pharmacy stores?
034dadb82db0211e2ca7,0,How do I sign up for a Quora account?
034e15ebf087b855b682,1,"Who buttered Roseanne's bread better, the left or the right?"
034e95e538380e7ee941,1,Why do people in India don't even get their basic needs?
034efd33b8dad81f896c,3,What was the real reason behind large number of innocent Tamil people killed in Sri Lanka? Is that true Tamil Muslims are not interested in eelam?
034f038fc41fb66e1da3,1,Why are many black women so fat?
034f545e032f18c66be4,4,"Why don't we ban poor people from having more children? Punishable by vasectomy, and children being taken by an organization to be raised at the parent's expense (accrual expenses). No one wants to starve to death, this is child abuse."
034f6f1af18781f8e760,2,"I really want to try incest with my mother, how should I start?"
03527e98f85cb6e201d7,3,"As a Sikh or Muslim, if I convert to Hinduism what extra socio-economic benefits will I get in India from Indian Government and Saffron terrorists?"
0353289cd0b6ba9d143a,2,Can I have sex with my married cousin?
035385d6da797d7e4bf4,3,"Is The Donald Trump a man or a woman? Is he just a sissy or a homosexual? Is He a Jew? Did he win due to the lack of credibility, mental and emotional intelligence intelligence, creativity, maturity, personality and vision by Americans?"
0355392a25199a04f412,1,"How right wing are the Northern counties of California, such as Siskiyou?"
035580c850d0997663ac,3,"Why are Baby Boomers always so rude, domineering, and bitter? Like, everywhere in the world they’re like this."
035705fcde298deafd16,3,Why is so much of the world so S-T-U-P-I-D? Use the morons of North Korea as a modern day example. Why do they follow little fat dumb ass?
035890aeec7f6253d572,3,"What is humanity? Why can't we just kill people to solve our problems? If a country faces a refugee crisis, why can't it just kill the refugees who have illegally made it to that country?"
035b0167cc8b0267906a,1,"Why are Jews or Rabbis known for always answering a question with a question? What is the psychological, sociological, or religious origin of this element of Jewish culture (if the stereotype is true)?"
035c2eddd7064f22b14b,3,"Do Chinese & other Asian women consider Arab women to be sexually immature, like children?"
035dd6fb2f8cba9afaa6,3,"Americans advise every country about their problems, but why can't they simply accept they have a gun control problem?"
035eb538f17d1f5368f5,1,Why do atheists use a book with the Devil printed on the cover as a proof that God does not exist? Aren't they as smart as they often portray themselves to be?
035ec38c432066e2caa8,3,Why do Jews always bring up holocaust when other people have suffered worse throughout history?
0360c3e034a5ce0a2e50,1,"Why are Chinese leaders ashamed of wearing their traditional dress, unlike Arabs and Indians?"
03644fd9cd6cea1df404,3,Why does Islamabad in Pakistan have higher HDI than any of our Indian cities? What is so special about it besides terrorism?
0364b37de06631399fde,3,How much damage does a bunch of priests singing carols cause to the Hindus?
036591bc8fa518ef027a,1,Most men want a 'beautiful woman'. Is that true?
0365e36687254bd29aa9,3,Why do people of other religions think their ridiculous beliefs are correct even when they know Christianity is clearly the one and only true religion?
036755a897c7b5c92bb7,1,"If all Bosniaks are “Serbs that converted to Islam” (Muslim Serbs), why did Serbs want to kill their ""own people""?"
03675ccde65d1ac6cb9e,1,Why are frauds and illiterates like Tejashwi Yadav's are being imposed on the country?
036795a4827bd9616fa3,3,India claimed Chinese soldiers who kicked down Indain soldiers at Ladakh. Why does India have a low IQ?
03679e3b7234f973a004,3,Why should we preserve the language of terrorists at Urdu?
0367c167326f7dabd41a,1,Are homosexuals tired of seeing mainly straight couples on TV?
0367ff852eab32b56cd6,1,Why are Bengali girls so aggressive?
0368bd77c446ca3a2fe3,1,Why the is Quora invaded by Indian people.?
0368c4abf6654e775afd,2,"Is the vagina of Indian girls as beautiful, pink in colour as the girls in porn?"
036a68c8c3cb9c620c32,1,How do I know which kind of American Bully I have?
036ad2ce1f5660732604,1,"Why are Indian Hindus on internet intentionally confusing Pakistani clan name ""Butt"" with Indian Hindu surname ""Bhatt"" when Pakistanis belonging to Butt clan feel offended by this misrepresentation of their clan name on internet?"
036b78d5e3f8719b3c07,2,Whose fault is it if you rape someone but you were abused as a child?
036b97e2f0ea8853f708,3,Did the blacks who whined about slavery and then stayed to take America's money realize that two wrongs don't make a right?
036c42de10d541d0a463,3,Why do so many Indian Indonesians prefer to eat food with their hands instead of using proper utensils? Do most native Indonesians find this disgusting when they see this happening in their native homeland?
036c67a43778009f1bce,3,"What real reason do people have to hate Trump, Clinton would’ve been 100 times worse?"
036cc788ac6abc7c8e05,1,Why most of guys lie to get sex from girls?
036d55fc347b1fecdbdf,3,Should every American keep a close watch on every Muslim they know?
036dfb895193ee1fbba2,3,Do you agree that the Japanese have evil mind by nature?
036ff962f29bf33ed6f7,3,Are Japanese people evil towards Chinese people?
0370ff43d12ee384df51,3,Why are most Pakistani women often unattractive and in bad shape? Is this the main reason their men rank so high while their women rank so low?
037158b5d61429c0489b,1,Is climate change an imagined problem promoted by censorship and the media without scientific evidence?
0372093031ed0412d6ee,0,Why do people keep asking me stupid questions that can either be answered by Google or need a conversation to work out?
03725e7363c04e30007b,1,Are Singaporeans secretly proud and satisfied of their country's systems and progress even though their grumbling may not reflect it?
0372b63029f764c5f10f,3,"Do liberals feel guilty and shame for causing the degeneration of our culture where mass shootings occur in schools, churches, movie theaters, concerts etc? The violence and pornography in our entertainment media; the coarseness in our dialogue."
0372c89c7911262e0f34,3,How do people from Islamic countries see the fact that it's only Islamic and no other religious groups that commit such mass terrorist acts?
03733fa5041aaaefa60d,3,"Is winnie the pooh is banned in China just because it looks like xi jin ping? If so it shows how paranoid and insecure xi is as a leader, maybe he got contaminated by Kim jong un!"
0376b7552501bf024c70,3,Why do Canadians dislike most Americans and the US? What is the purpose of this?
0376da9552e0d74640b1,3,Do any other conservatives think Jason Chaffetz is a complete and utter moron?
03771144fdf3905f4244,3,Did medieval Jewish bankers start Protestant Christianity as a scam?
03781d4d9e3887593744,1,"Would it be better for the LGBT community to not be offended when somebody uses the word ""gay"" to describe something that is mildly irritating for themselves?"
037944b43696e73d79b2,2,Do women who wear pantyhose enjoy the thought of a man starting at their toes and working his way up?
0379751e1655f2a70fe9,4,Why did Hindus beg Muslims to build Ram temple in Ayodhya?
037a2d709c39e0830ce9,1,Why does your father smell of elderberries?
037a3a7855271d90055d,3,"Do white women like it when dark-skinned men won't date women of his own kind and only likes to date women with ""milky white skin""?"
037a72fb833946b6443e,2,Is mom son incest fantasy normal?
037c0c342db36852927f,3,Why are narcissists so sensitive?
037cc2c3be55ce944cc5,3,Why can’t Europeans become more conservative and politically incorrect like Americans?
037cfe7138da4d7bfed4,3,Why don't Modi kill all Kashmiri and settle biharis there?
037d11b20641ac6afa81,1,"Why doesn't the UK realise that the government wanted Brexit and played us via the media, etc. to get the result they wanted?"
037e9a958755d42caae2,3,Why do some African-Americans become Muslim? Do they not realize that slavery is alive and well in Saudi Arabia?
037ffff486efc2c17bbb,3,How disturbing is it that many Democrats are not very bothered by the fact that their own party rigged the primaries in violation of the fundamental principals of democracy regarding fair and transparent elections?
03804d5ca2ad80dc51b5,1,What will cause reactionaries of the American Left to stop their repression? Will more generations of Americans lose their careers or face campus violence for thinking or saying the wrong thing? Will the Left's hatred and intolerance ever end?
0380b0b1056782e19e01,3,Why does the media use sex to make white men feel inferior to black men?
0380eefe042addfd088e,3,What do white people tend to be better at than other ethnicities? (other than “white-privilege”)
038217d6a0ed97f5ed86,3,When will the United Kingdom and Canada apologize to France and Quebec for invading Quebec and discriminating French speakers?
038269e32f1fec194dc0,1,"In the 21st century, are males more stupid than females? The boys in my class are so dumb, I doubt any of them will make college."
03831dfa37a24e51d952,3,"Why were white supremacist yelling ""fuck you faggot"" at Charlottesville, Virginia?"
03839fed1416396195d7,1,Are American women capable of being good daughters-in-law?
03853da4319f78fb17a9,1,Why are Chinese poeple crazy about famous universities like Peking University?
038577e84ca60288b24b,2,"You are on your way to your girlfriends house with someone else only to find a letter from her kidnapper""Dear pesky plumbers, I dare you to rape her"" how do you react:""We gotta rape the bitch"" or do nothing?"
0385a1936ac7a1edac58,1,"How is this to bring unity, doesn't it promote more division with fear, and mistrust? Doesn't someone have to step up to stop it? Have we forgotten the ""for whites only"" signs? Do we have to go back there out of unjustified fear?"
0386af86940d257c9f69,2,"Are 36-24-36 bust/waist/hips measurements natural, healthy, and normal for a 18 year old female?"
0386e421769706ee06f3,1,Why do idiots ignore my questions even when I request to all them?
0389ae4a1822e3b04124,1,Why does Bengalis have lot of ego?
038c6c4a7da2cffa0f67,1,Why is America so developed if Americans are dumb?
038df4cdb4cd00972605,1,"Can I get someone trustworthy living in Canada? If yes, how?"
038e9b4f55465b074ec5,1,In the UK historic scientists are celebrated in the way that Australia celebrates swimming stars. What can be done to fix Australia’s anti-intellectual culture?
038f6277ec89d568c5fe,1,How many white people does it take to screw in a light bulb?
039263fb6935f50453aa,1,Why do so many people in America have such terrible British accents?
0395e6db2b6b71a973dd,1,"Why do liberal Democrats blindly follow a person, who has been embroiled in multiple scandals over the last year?"
0396302639b1bbf20c8b,1,Why are all the wives on “Housewives Of New Jersey” African American (or do they all tan 10 hours per day)?
039728683467e289d5bc,1,Why does Southern American have a lot of inbreds?
0397c9e954001e7cbcd4,1,Do you think people who know about and can afford birth control but don’t use it should be given abortions?
0398852d05bed4f035d6,1,Why are gujaratis radical about their language and often behave rudely to outsiders?
039bab4064ee690dbb43,3,Is Pakistan and Porkistan one and the same country?
039c2a65680c8f06cce7,2,How do you cut off your dick?
039c3237e06594bbc43f,3,"Why are people wary of Nazi ideology, but tolerant of a religious belief like Islam which denigrates women and condones killing homosexuals?"
039c6768dc145ce6f60b,2,Can a 9 year old shove there cock in a vagina?
039eb4e98f4d0bea12a0,1,"Why is ther a tendency to think it's fine to assault a short or avarage height man, while insulting a tall guy is looked upon as insulting a women (when there is a little difference after all in gender)?"
039efcdb168f039340fc,1,"Why are Punjabi, Goan (Konkani) and Mangalorean (Tulu) girls mostly beautiful and attractive?"
039f8c2be14d8e20eec2,2,Why most women like big dick according to their discussion?
039fb52b504b3999ed08,1,"Why do they call Republican states red states, when Democrats are a lot closer to communism than Republicans?"
03a165b1dee39bf12395,1,How many Tibetan monks burn themselves each year in order to protest against CCP's tyrannical rule?
03a361f9a4b9c6f5269e,3,Why do Asians eat dogs?
03a3bfd6a1bc2d1ae134,2,Is there any problem if son have sex with mom?
03a3c94986d90d6efa80,2,Is it wrong that I really want to fuck my hot niece who is 1 year younger than me (13)?
03a4836b809813aeac14,2,Could you really have sex with a chicken? What's the best farm animal to fuck? My good friend said cows but my money's on the horses
03a6594b4cf6b2e1b576,3,Why can’t we conclude Republicans are immoral when 89% of them fully or implicitly endorse and applaud Trump’s full range of immoral acts?
03a6cfd6dc054d08a3eb,1,Can eJEWcation kill education?
03a7b3cd63f964f416fd,3,Is it normal that when I see devoted Christians like Mike Pence I feel ashamed of myself as a Christian?
03a7f17ec1658e0249f0,1,Why are some Scandinavian people indecent and rude to me because I am Jewish?
03a9634024af19259198,1,Why is the entire leftist population on the globe ignorant to the dangers of Islamification?
03a9ee628f4cf4d4bd7a,0,Should I date an Indian guy?
03aa21ef933b80219555,1,"What should a ""black"" American do to not get killed by the police, since being rude/aggressive isn't the case anymore, as proved by Castile's death?"
03aa454a35cba205a860,4,"If Quora were an airline, would it cancel the flight if a bird shit on the runway?"
03ab2db627ae230b18ce,1,Why wasn't Ronald Reagan taken to the International Court of Justice for the ills he created in Iraq?
03abb068187c7bc28cd0,1,"Why is Hitler always remembered for killing 6 million Jews, but Stalin, with Jewish links, was never remembered for killing 70 million people?"
03ad4ba2a6180e5c1769,1,Why is Vietnam the champion of claiming territories?
03ad57df06be531e1700,1,Why aren't blacks considered domestic terrorists for all their crimes?
03adc8102d9fecf61eca,1,Are black people the most intelligent race?
03ae2263b85e02f53407,4,"Is it true that if FDR's gay affair with Hitler had not gone sour, the US would never have even entered WWII?"
03ae80eb248117aa90fa,3,Is India safe for Hindus anymore? People are getting killed for chanting patriotic songs and loving Muslim girls. How come the minority (Muslims) are persecuting the majority without any backlash?
